School,SalaryType,Rank,Salary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Full,"122,184.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Associate,"87,548.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Assistant,"71,244.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Full,"124,735.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Associate,"91,073.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Assistant,"71,824.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Full,"127,045.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Associate,"94,992.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Assistant,"77,614.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Full,"135,908.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Associate,"105,092.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Assistant,"84,679.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Full,"136,785.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Associate,"102,905.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Assistant,"80,994.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Full,"137,334.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Associate,"102,225.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Assistant,"76,297.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Full,"139,887.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Associate,"106,370.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Assistant,"83,860.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Full,"134,946.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Associate,"102,143.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Assistant,"75,018.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Full,"135,710.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Associate,"98,883.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Assistant,"71,979.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Full,"132,801.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Associate,"97,786.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Assistant,"72,093.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Full,"133,124.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Associate,"99,181.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Assistant,"77,205.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Full,"135,365.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Associate,"100,768.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Assistant,"78,223.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Full,"138,430.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Associate,"102,212.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Assistant,"81,658.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Full,"140,476.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Associate,"103,744.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Assistant,"80,131.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Full,"140,171.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Associate,"106,356.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Assistant,"82,091.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Full,"139,827.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Associate,"108,464.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Assistant,"78,909.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Full,"137,673.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Associate,"104,273.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Assistant,"79,024.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Full,"137,488.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Associate,"101,035.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Assistant,"75,825.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Full,"137,672.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Associate,"102,242.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Assistant,"84,020.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Full,"134,729.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Associate,"98,242.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Assistant,"79,876.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Tuition/Fees,2020 1$ EQV,Inf/Adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,"22,228.00",1.5534873950,"34,530.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"23,094.00",1.5029674811,"34,709.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,"23,995.00",1.4622090410,"35,085.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,"24,930.00",1.4386381339,"35,865.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,"25,902.27",1.4065815221,"36,433.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"27,171.48",1.3700952902,"37,227.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"28,667.00",1.3251971321,"37,989.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"30,194.00",1.2837847231,"38,762.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,"31,794.00",1.2482323884,"39,686.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"33,479.00",1.2020780018,"40,244.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,"35,124.00",1.2063699979,"42,372.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,"36,683.00",1.1869015287,"43,539.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"38,886.00",1.1505830470,"44,741.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"40,809.00",1.1272550676,"46,002.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"42,849.00",1.1109818543,"47,604.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,"45,377.00",1.0932473309,"49,608.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,"46,966.00",1.0919512107,"51,284.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,"48,376.00",1.0783477141,"52,166.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,"49,949.00",1.0558542749,"52,738.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,"51,447.00",1.0306801484,"53,025.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,"52,524.00",1.0123368422,"53,171.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,"55,000.00",1.0000000000,"55,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Rank,Salary,Tuition/Fees,2020 1$ EQV,Inf/Adj Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Full,"118,499.15","22,228.00",1.5534873950,"34,530.92",,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Associate,"84,106.44","22,228.00",1.5534873950,"34,530.92",,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Assistant,"68,567.89","22,228.00",1.5534873950,"34,530.92",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Full,"120,336.19","23,094.00",1.5029674811,"34,709.53",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Associate,"86,407.47","23,094.00",1.5029674811,"34,709.53",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Assistant,"68,847.92","23,094.00",1.5029674811,"34,709.53",,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Full,"122,184.96","23,995.00",1.4622090410,"35,085.71",,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Associate,"87,548.52","23,995.00",1.4622090410,"35,085.71",,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Assistant,"71,244.72","23,995.00",1.4622090410,"35,085.71",,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Full,"124,735.33","24,930.00",1.4386381339,"35,865.25",,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Associate,"91,073.16","24,930.00",1.4386381339,"35,865.25",,,,,,,,,,,,,,,,,,,,,,,,,,,
